date,gm,adbe,ora,flo,mkt_rf,smb,hml,rf
3/1/2019,-0.060283741,0.015199962,-0.012179894,0.05069144,0.011,-0.0303,-0.041,0.0019
4/1/2019,0.060284314,0.085406623,0.060298531,0.01969991,0.0397,-0.0174,0.0214,0.0021
5/1/2019,-0.144030843,-0.063439952,0.011651813,0.028979008,-0.0694,-0.0131,-0.0234,0.0021
6/1/2019,0.155668871,0.087670729,0.075605995,0.040232277,0.0693,0.0028,-0.0072,0.0018
7/1/2019,0.058196064,0.014288108,0.034074789,0.027083025,0.0119,-0.0193,0.0047,0.0019
8/1/2019,-0.080565148,-0.048015712,0.13302808,-0.037974761,-0.0258,-0.0236,-0.0476,0.0016
9/1/2019,0.010514907,-0.029032406,0.00177438,0.02293495,0.0143,-0.0097,0.0674,0.0018
10/1/2019,0.001413457,0.006081423,0.030555794,-0.060959697,0.0206,0.0029,-0.0192,0.0016
11/1/2019,-0.031216322,0.113697718,0.003788029,-0.008747439,0.0387,0.0078,-0.0201,0.0012
12/1/2019,0.01666664,0.065518687,-0.028923704,0.018586484,0.0277,0.0073,0.0176,0.0014
1/1/2020,-0.077917591,0.064673652,0.063606933,-0.009659285,-0.0011,-0.031,-0.0622,0.0013
2/1/2020,-0.086552782,-0.017144215,-0.120868154,0,-0.0813,0.0107,-0.0379,0.0012
3/1/2020,-0.318688465,-0.077885968,-0.028989607,-0.038706244,-0.1339,-0.0488,-0.1397,0.0013
4/1/2020,0.085751428,0.111236884,-0.076060004,0.085770029,0.1365,0.0249,-0.0123,0
5/1/2020,0.16105876,0.093202097,0.166640044,0.058796997,0.0558,0.0248,-0.0489,1.00E-04
6/1/2020,-0.022411097,0.125995839,-0.126611037,-0.052140503,0.0246,0.027,-0.0217,1.00E-04
7/1/2020,-0.016205571,0.020697914,-0.062844552,0.02641771,0.0577,-0.0232,-0.0138,1.00E-04
8/1/2020,0.190437905,0.155451042,0.023025203,0.075164693,0.0763,-0.0022,-0.0295,1.00E-04
9/1/2020,-0.001349953,-0.044722377,-0.027212376,0.002742699,-0.0363,4.00E-04,-0.0268,1.00E-04
10/1/2020,0.166948327,-0.088351014,0.198951097,-0.030826036,-0.021,0.0436,0.0421,1.00E-04
11/1/2020,0.26962057,0.070163262,0.112036249,-0.058948263,0.1247,0.0582,0.0214,1.00E-04
12/1/2020,-0.05018247,0.045248383,0.14708364,0.028954609,0.0463,0.0489,-0.0151,1.00E-04
1/1/2021,0.217098979,-0.08268017,0.264510535,0.014582496,-3.00E-04,0.0734,0.0296,1.00E-04
2/1/2021,0.012825624,0.00196182,-0.249562129,-0.0527004,0.0278,0.0206,0.0718,0
3/1/2021,0.119423226,0.034154897,-0.083342965,0.094252859,0.0308,-0.0237,0.074,0
4/1/2021,-0.004176726,0.069356504,-0.076745458,0.015792389,0.0493,-0.0319,-0.0094,0
5/1/2021,0.036525685,-0.007396642,-0.046270765,0.0054257,0.0029,-0.0025,0.0708,0
6/1/2021,-0.002360579,0.16064852,0.00877982,0.00456631,0.0275,0.017,-0.0782,0
7/1/2021,-0.039377973,0.061454117,0.003020313,-0.018172703,0.0127,-0.0399,-0.0176,0
8/1/2021,-0.137755185,0.067676925,0.019931195,0.024193511,0.0291,-0.0043,-0.0016,0
9/1/2021,0.075494847,-0.132559951,-0.061869001,-0.020720922,-0.0437,0.0072,0.0508,0
10/1/2021,0.032631418,0.129646387,0.085873074,0.05656584,0.0665,-0.0235,-0.0048,0
11/1/2021,0.063200347,0.029968005,0.043826868,0.043232325,-0.0155,-0.0132,-0.0044,0
12/1/2021,0.013132992,-0.153452238,0.051919969,0.063903929,0.031,-0.0166,0.0328,1.00E-04
1/1/2022,-0.100631117,-0.057771682,-0.1404791,0.032479202,-0.0625,-0.0594,0.1275,0
2/1/2022,-0.11397681,-0.124686499,0.046801564,-0.025595369,-0.0229,0.0223,0.0304,0
3/1/2022,-0.063784268,-0.025786859,0.146881692,-0.062021169,0.0305,-0.016,-0.018,1.00E-04
4/1/2022,-0.133287677,-0.130964364,-0.04890418,0.039405279,-0.0946,-0.0141,0.0619,1.00E-04
5/1/2022,0.020311343,0.051849977,0.080566284,0.040723917,-0.0034,-0.0185,0.0841,3.00E-04
6/1/2022,-0.178903849,-0.121062264,-0.065251571,-0.04637675,-0.0843,0.0209,-0.0597,6.00E-04
7/1/2022,0.141687611,0.120362775,0.104530901,0.088583003,0.0957,0.0281,-0.041,8.00E-04
8/1/2022,0.05377824,-0.089437222,0.080194232,-0.039070752,-0.0378,0.0139,0.0031,0.0019
9/1/2022,-0.158250019,-0.263067667,-0.076737304,-0.095604357,-0.0936,-0.0081,5.00E-04,0.0019
